date,ticker,open_usd,high_usd,low_usd,close_usd,adj_close_usd,volume,event_flag,event_description
2022-09-15,HLMO,14.40,14.65,14.25,14.50,14.50,1170000,0,N/A
2023-06-09,HLMO,15.20,15.50,15.00,15.30,15.30,1180000,0,Pre-upgrade
2023-06-12,HLMO,15.30,16.28,15.17,16.04,16.04,1260000,1,FluxGrid upgrade
2023-06-13,HLMO,16.05,16.35,15.90,16.15,16.15,1240000,1,Upgrade impact
2023-06-14,HLMO,16.10,16.40,15.95,16.20,16.20,1220000,1,Upgrade impact
2023-06-15,HLMO,16.15,16.45,16.00,16.25,16.25,1200000,1,Upgrade impact
2023-06-16,HLMO,16.20,16.50,16.05,16.30,16.30,1180000,0,N/A
2023-06-19,HLMO,16.25,16.55,16.10,16.35,16.35,1160000,0,N/A
2023-06-20,HLMO,16.30,16.60,16.15,16.40,16.40,1140000,0,N/A
2023-06-21,HLMO,16.35,16.65,16.20,16.45,16.45,1120000,0,N/A
2023-06-22,HLMO,16.40,16.70,16.25,16.50,16.50,1100000,0,N/A
2024-04-05,HLMO,16.30,16.60,16.10,16.40,16.40,1480000,0,Pre-v2 launch
2024-04-08,HLMO,16.40,17.55,16.31,17.38,17.38,1580000,1,FluxGrid v2 launch
2024-04-09,HLMO,17.40,17.70,17.20,17.50,17.50,1550000,1,Launch positive
2024-04-10,HLMO,17.45,17.75,17.25,17.55,17.55,1520000,1,Launch positive
2024-04-11,HLMO,17.50,17.80,17.30,17.60,17.60,1490000,1,Launch positive
2024-04-12,HLMO,17.55,17.85,17.35,17.65,17.65,1460000,0,N/A
2024-04-15,HLMO,17.60,17.90,17.40,17.70,17.70,1430000,0,N/A
2024-04-16,HLMO,17.65,17.95,17.45,17.75,17.75,1400000,0,N/A
2024-04-17,HLMO,17.70,18.00,17.50,17.80,17.80,1370000,0,N/A
2024-04-18,HLMO,17.75,18.05,17.55,17.85,17.85,1340000,0,N/A
2025-02-07,HLMO,17.00,17.30,16.80,17.10,17.10,1320000,0,Pre-collaboration
2025-02-10,HLMO,17.08,18.22,17.00,18.05,18.05,1420000,1,Asteria collaboration
2025-02-11,HLMO,18.10,18.40,17.90,18.20,18.20,1390000,1,Collaboration buzz
2025-02-12,HLMO,18.15,18.45,17.95,18.25,18.25,1360000,1,Collaboration buzz
2025-02-13,HLMO,18.20,18.50,18.00,18.30,18.30,1330000,1,Collaboration buzz
2025-02-14,HLMO,18.25,18.55,18.05,18.35,18.35,1300000,0,N/A
2025-02-17,HLMO,18.30,18.60,18.10,18.40,18.40,1270000,0,N/A
2025-02-18,HLMO,18.35,18.65,18.15,18.45,18.45,1240000,0,N/A
2025-02-19,HLMO,18.40,18.70,18.20,18.50,18.50,1210000,0,N/A
2025-02-20,HLMO,18.45,18.75,18.25,18.55,18.55,1180000,0,N/A
2025-06-13,HLMO,18.50,18.80,18.30,18.60,18.60,1450000,0,Pre-probe
2025-06-14,HLMO,18.60,18.92,17.72,18.01,18.01,1550000,1,EU antitrust probe
2025-06-17,HLMO,18.00,18.30,17.80,17.90,17.90,1520000,1,Probe negative
2025-06-18,HLMO,17.85,18.15,17.65,17.75,17.75,1490000,1,Probe negative
2025-06-19,HLMO,17.70,18.00,17.50,17.60,17.60,1460000,1,Probe negative
2025-06-20,HLMO,17.55,17.85,17.35,17.45,17.45,1430000,0,N/A
2025-06-21,HLMO,17.40,17.70,17.20,17.30,17.30,1400000,0,N/A
2025-06-24,HLMO,17.25,17.55,17.05,17.15,17.15,1370000,0,N/A
2025-06-25,HLMO,17.10,17.40,16.90,17.00,17.00,1340000,0,N/A
2025-06-26,HLMO,16.95,17.25,16.75,16.85,16.85,1310000,0,N/A
2025-07-29,HLMO,18.70,19.00,18.50,18.82,18.82,1580000,0,Pre-recall
2025-07-30,HLMO,18.82,19.40,18.20,19.12,19.12,1680000,1,Counterfeit recall
2025-07-31,HLMO,19.00,19.30,18.80,19.05,19.05,1650000,1,Recall dip
2025-08-01,HLMO,19.22,20.22,19.05,20.05,20.05,1992000,1,Analyst upgrade post-recall
2025-08-04,HLMO,20.00,20.30,19.80,20.10,20.10,1950000,0,N/A
2025-08-05,HLMO,20.05,20.35,19.85,20.15,20.15,1920000,0,N/A
2025-08-06,HLMO,20.10,20.40,19.90,20.20,20.20,1890000,0,N/A
2025-08-07,HLMO,20.15,20.45,19.95,20.25,20.25,1860000,0,N/A
2025-08-08,HLMO,20.20,20.50,20.00,20.30,20.30,1830000,0,N/A
2025-08-11,HLMO,20.25,20.55,20.05,20.35,20.35,1800000,0,N/A
2025-08-12,HLMO,20.30,20.60,20.10,20.40,20.40,1770000,0,N/A
2025-08-13,HLMO,20.35,20.65,20.15,20.45,20.45,1740000,0,N/A
2025-08-14,HLMO,20.40,20.70,20.20,20.50,20.50,1710000,0,N/A
2025-08-15,HLMO,20.45,20.75,20.25,20.55,20.55,1680000,0,N/A
2025-08-18,HLMO,20.50,20.80,20.30,20.60,20.60,1650000,0,N/A
2025-08-19,HLMO,20.55,20.85,20.35,20.65,20.65,1620000,0,Current stable
